,Rank,Song,Artist,Album,Release Date,Popularity,Duration (ms),Explicit,Track ID,Preview URL,Track Number,Continent,Country,Artist Photo URL
354,5,Duro De Verdad pt.2,Los Sufridos,Duro De Verdad pt.2,2024-09-12,77,204303,False,0glj70T9fN3kyJzYmTKzy1,https://p.scdn.co/mp3-preview/0c0737fb59416b5fe59874a87a54c856ed0267ea?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f1782ac6071ebdfd0268e37ed76e
355,6,Luna llena,Beny Jr,Anti Social Cool Kid,2024-02-15,77,169846,False,6mnfGyPzbzSe8olYGM44pU,https://p.scdn.co/mp3-preview/8b422b4695c15a67118dbc098a8e0b341718e89f?cid=0bb3eb6005f44507983d0b4982473814,6,Europe,Spain,https://i.scdn.co/image/ab6761610000f178807f22297ee3cb75dff9370e
356,7,Soltera,Shakira,Soltera,2024-09-25,86,214642,False,3OJDtCdYs8QJnui708tEU3,https://p.scdn.co/mp3-preview/767b16d5b5c8695b4440fab78722a049c19a2951?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f1782528c726e5ddb90a7197e527
357,8,TAMBIÉN,Myke Towers,LA PANTERA NEGRA,2024-08-22,79,139546,True,39Pc4a04VgCtcc7m0XKi9M,https://p.scdn.co/mp3-preview/e4c9a8eb71bd301cb4d7f2355d9ed5a0ae2c7931?cid=0bb3eb6005f44507983d0b4982473814,5,Europe,Spain,https://i.scdn.co/image/ab6761610000f1788372345609bebaf1e948ef7f
358,9,UWAIE,Kapo,UWAIE,2024-08-15,87,172427,False,5QjmUqgpPQgXgg4606DqZF,https://p.scdn.co/mp3-preview/1c5f61958fb04b0d3f6af10d66ffdb708b428096?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f178d21af7619db28f072b7a9f54
359,10,PELIGROSA,FloyyMenor,EL COMIENZO,2024-08-09,84,134930,True,42wdz3j7gstgUuhoFLCXqd,https://p.scdn.co/mp3-preview/9ffac5472944bbea0f929e2c5f2b71c7560116cb?cid=0bb3eb6005f44507983d0b4982473814,5,Europe,Spain,https://i.scdn.co/image/ab6761610000f178a410f779bd969d6d1e4815a2
360,11,Ohnana,Kapo,Ohnana,2024-06-06,86,156577,False,1fTjqf10accJCDYstPwwZ6,https://p.scdn.co/mp3-preview/f71b962af9adf9597e0a6446ce4291389d56be4c?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f178d21af7619db28f072b7a9f54
361,12,RAPAPA,JC Reyes,KM 33,2024-10-18,64,120888,False,79j3Cl3AEAEhXK9cjjfd02,https://p.scdn.co/mp3-preview/3bdf47f8628c4b9a287c034cfc2f1993a867d0dd?cid=0bb3eb6005f44507983d0b4982473814,6,Europe,Spain,https://i.scdn.co/image/ab6761610000f178d186c34840c6261d26f9729a
362,13,Celine (with Kidd Keo),Ghost Killer Track,Celine (with Kidd Keo),2023-07-07,73,176017,False,5ER5Fr1Cv7N3chJhAapt66,https://p.scdn.co/mp3-preview/155af5819296822266e59dcb2b33f529b8d84667?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f178b1e1ec5fd0b9f2ef89235887
363,14,STAR,JC Reyes,KM 33,2024-10-18,64,156000,False,2mnehJ4xPqFe4cNi7BG2rc,https://p.scdn.co/mp3-preview/bbede48fe8316a25f8ce99aacea4290440fd2a1e?cid=0bb3eb6005f44507983d0b4982473814,4,Europe,Spain,https://i.scdn.co/image/ab6761610000f178d186c34840c6261d26f9729a
364,15,Rapido (with Cris Mj),Dei V,Quién es Dei V?,2024-06-14,78,146000,True,1emJPywtseFLmLCcPY92dW,https://p.scdn.co/mp3-preview/1bbe2e1a99591c681d6cb8801c9be74564aec0db?cid=0bb3eb6005f44507983d0b4982473814,8,Europe,Spain,https://i.scdn.co/image/ab6761610000f178c37ea490563bfe14de707f18
365,16,LA REINA,Lola Indigo,LA REINA,2024-06-13,74,150000,False,06JM1fuKPQOrSL6s9mzDvV,,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f178353b0a0a9e686acbd382e1ea
366,17,Qué Pecao,Manuel Turizo,Qué Pecao,2024-10-03,76,230073,False,456U68M8lIymkz56Zroxh8,https://p.scdn.co/mp3-preview/2b44ce01e35600f4b7778de3292367ceb9465b73?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f178cc91276af455a0fbc0ac56d0
367,18,Santa,Rvssian,Santa,2024-04-03,83,193038,False,6a9Z1jUms915w4O7N1PxjY,https://p.scdn.co/mp3-preview/0f6ef71a778db3848bb186092bccd8f0290c10a0?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f1784b160d715741ad56b7ef417d
368,19,Me has invitado a bailar,Dani Fernández,La Jauría,2024-10-25,47,192906,False,3tMftGMXTPbQlmjh4FzXpZ,https://p.scdn.co/mp3-preview/9372552f4aa608b61d6794efcd106daa9807a179?cid=0bb3eb6005f44507983d0b4982473814,3,Europe,Spain,https://i.scdn.co/image/ab6761610000f178494e014cac9d76d0cee357ee
369,20,LUNA,Feid,FERXXOCALIPSIS,2023-12-01,88,196800,False,7bywjHOc0wSjGGbj04XbVi,,6,Europe,Spain,https://i.scdn.co/image/ab6761610000f178e82c62cc8cf019aecfd71ee8
370,21,FRIKI,Gonzy,THE WORLD IS YOURS,2024-10-11,61,189066,True,4eo11GQla5DlqMHQ76ym3l,,13,Europe,Spain,https://i.scdn.co/image/ab6761610000f1783666f113da037b3009c72f6c
